time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T10:13:14.550Z,63.0498,-151.4354,5.3,1.2,ml,,,,0.42,ak,ak020ddff56n,2020-10-17T10:22:02.736Z,earthquake,,0.4,,,automatic,ak,ak
2020-10-17T10:09:59.366Z,60.1863,-152.5089,22.2,1,ml,,,,1.13,ak,ak020ddfedpc,2020-10-17T10:22:02.616Z,earthquake,,0.6,,,automatic,ak,ak
2020-10-17T10:08:04.400Z,32.9233333,-116.2653333,3.6,1.75,ml,58,60,0.04467,0.22,ci,ci39665960,2020-10-17T16:27:37.790Z,earthquake,0.25,0.54,0.155,26,reviewed,ci,ci
2020-10-17T10:00:13.983Z,60.3955,-141.1867,18.5,1.1,ml,,,,0.17,ak,ak020ddfcctx,2020-10-17T10:04:50.324Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T09:59:16.910Z,37.5091667,-118.7785,4.79,1.3,md,17,196,0.06367,0.04,nc,nc73471831,2020-10-17T16:45:06.667Z,earthquake,0.47,0.59,0.115,11,reviewed,nc,nc
2020-10-17T09:58:33.970Z,35.6128349,-120.3756638,5.33,2.99,md,45,43,0.0723,0.11,nc,nc73471826,2020-10-17T15:26:09.147Z,earthquake,0.18,0.74,0.13,59,automatic,nc,nc
2020-10-17T09:54:44.749Z,63.0973,-151.3643,0,1.2,ml,,,,0.8,ak,ak020ddf2k9m,2020-10-17T09:58:19.253Z,earthquake,,0.5,,,automatic,ak,ak
2020-10-17T09:50:02.660Z,39.3619995,-123.2600021,3.36,1.52,md,11,123,0.07495,0.03,nc,nc73471821,2020-10-17T10:48:04.257Z,earthquake,0.37,2.85,0.07,6,automatic,nc,nc
2020-10-17T09:45:02.570Z,35.667,-117.509,7.25,1.77,ml,20,155,0.08891,0.16,ci,ci39665944,2020-10-17T16:27:00.501Z,earthquake,0.34,1.21,0.224,26,reviewed,ci,ci
2020-10-17T09:43:40.660Z,19.22999954,-155.3744965,30.32999992,1.98000002,md,44,159,,0.119999997,hv,hv72184431,2020-10-17T09:46:53.840Z,earthquake,0.61,0.779999971,0.25999999,9,automatic,hv,hv
2020-10-17T09:40:09.341Z,60.4378,-141.2043,9.2,1.8,ml,,,,0.67,ak,ak020ddezhgd,2020-10-17T09:46:07.862Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T09:37:46.730Z,35.856,-117.693,6.49,1.24,ml,19,75,0.07518,0.13,ci,ci39665936,2020-10-17T16:27:49.340Z,earthquake,0.24,0.56,0.173,17,reviewed,ci,ci
2020-10-17T09:33:25.865Z,60.4109,-141.2053,4.9,2,ml,,,,0.78,ak,ak020ddey0rk,2020-10-17T09:42:47.281Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T09:33:21.810Z,35.911,-117.7425,7.78,0.45,ml,9,112,0.07205,0.07,ci,ci39665928,2020-10-17T16:27:18.817Z,earthquake,0.23,0.93,0.204,4,reviewed,ci,ci
2020-10-17T09:32:27.850Z,60.4105,-141.1561,11.9,2,ml,,,,0.61,ak,ak020ddext7k,2020-10-17T09:38:26.537Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T09:31:00.760Z,39.3618317,-123.26017,2.98,1.77,md,13,168,0.07491,0.05,nc,nc73471816,2020-10-17T10:23:04.087Z,earthquake,0.49,3.3,0.1,10,automatic,nc,nc
